"price","rating_count_tot","user_rating","cont_rating","prime_genre"
0,308844,3.5,"4+","Entertainment"
9.99,3909,4.5,"4+","Music"
2.99,308,4.5,"12+","Utilities"
9.99,11156,4.5,"4+","Productivity"
4.99,8542,4.5,"4+","Photo & Video"
4.99,5853,3.5,"17+","Games"
1.99,1506,4,"9+","Games"
0,1649,3.5,"4+","Social Networking"
0,78890,3,"12+","Entertainment"
3.99,2147,4,"9+","Games"
0,89110,4.5,"4+","Games"
0,208648,4,"4+","Weather"
1.99,856,2.5,"12+","Entertainment"
3.99,7825,4.5,"4+","Productivity"
9.99,7033,4,"4+","Business"
1.99,4255,4,"4+","Reference"
5.99,3230,4.5,"4+","Utilities"
0,54175,4.5,"4+","Reference"
4.99,308,4,"4+","Education"
0.99,2602,3,"9+","Games"
0,29110,4.5,"17+","Productivity"
1.99,273,3.5,"4+","Reference"
0,15654,4.5,"4+","Photo & Video"
0,189,2.5,"12+","Entertainment"
0.99,829,4.5,"4+","Navigation"
8.99,663,5,"4+","Photo & Video"
0,359832,4.5,"4+","Games"
0,9011,3.5,"4+","Entertainment"
4.99,17667,4.5,"4+","Health & Fitness"
0,65450,4,"4+","Book"
0,31261,4.5,"4+","Travel"
0.99,9885,4,"4+","Games"
0,11091,3,"4+","Entertainment"
0,132703,4,"4+","News"
4.99,286,2.5,"4+","Travel"
0,12683,4,"12+","Utilities"
0,49466,3,"4+","Travel"
0,168,4,"4+","Productivity"
6.99,114,4,"17+","Book"
2.99,2798,4.5,"4+","Weather"
0,62,3.5,"4+","Entertainment"
9.99,1756,4,"4+","Business"
3.99,511,4.5,"4+","Health & Fitness"
0.99,2609,3.5,"17+","Games"
0,354,1.5,"4+","Social Networking"
0,1750,3.5,"17+","Utilities"
1.99,1121,4.5,"9+","Games"
0,339,4.5,"4+","Sports"
0,34322,4.5,"4+","Finance"
1.99,162,4.5,"4+","Productivity"
0,8,3,"4+","Utilities"
2.99,4386,4.5,"4+","Education"
4.99,5397,5,"4+","Games"
0,75412,4.5,"17+","Social Networking"
0,97072,4,"17+","Social Networking"
0,9142,3.5,"12+","Health & Fitness"
1.99,1957,4.5,"4+","Games"
4.99,2944,4,"17+","Entertainment"
1.99,588,4,"4+","Photo & Video"
1.99,40552,4.5,"4+","Games"
0.99,1267,4.5,"4+","Finance"
24.99,753,4,"4+","Education"
2.99,725,4,"4+","Weather"
3.99,45,4.5,"12+","Education"
0.99,14910,4,"12+","Games"
2.99,3064,3.5,"9+","Games"
0,12074,2.5,"17+","News"
4.99,336,4,"4+","Productivity"
9.99,6257,4,"4+","Productivity"
1.99,2445,4.5,"4+","Photo & Video"
0.99,22150,4,"9+","Games"
0,23530,4,"17+","Social Networking"
9.99,10846,4.5,"4+","Games"
0,55171,3.5,"4+","Shopping"
0,5782,3.5,"12+","Education"
0,24,3.5,"4+","Weather"
0,17,3.5,"4+","Finance"
1.99,35759,4.5,"12+","Games"
2.99,18306,4,"12+","Games"
0,13567,2,"4+","Education"
1.99,240,3,"4+","Sports"
0,56170,2,"12+","Entertainment"
3.99,19,4.5,"4+","Education"
0,0,0,"4+","Navigation"
1.99,10463,4.5,"4+","Photo & Video"
0,1255,4.5,"12+","Lifestyle"
0.99,5803,4,"4+","Games"
1.99,227,4,"9+","Games"
9.99,342,3.5,"4+","Navigation"
2.99,7578,4.5,"4+","Photo & Video"
6.99,1156,3.5,"4+","Games"
0,7197,3.5,"4+","Education"
2.99,5,3,"4+","Entertainment"
0.99,3432,3,"4+","Games"
3.99,0,0,"4+","Education"
4.99,24306,4.5,"4+","Games"
0,312,3.5,"17+","Travel"
0,105274,4.5,"4+","Book"
2.99,25475,4.5,"4+","Utilities"
0.99,8718,4,"4+","Games"
0,29492,3.5,"4+","Entertainment"
4.99,12787,4.5,"4+","Entertainment"
4.99,2237,4,"17+","Utilities"
0.99,108,4,"4+","Utilities"
0,25403,4.5,"12+","Music"
0,210,3.5,"4+","Lifestyle"
0,169,4,"4+","Shopping"
1.99,7447,4.5,"4+","Productivity"
2.99,12833,4.5,"4+","Education"
0,130450,5,"4+","Utilities"
4.99,6,4,"4+","Games"
0,1111,1.5,"4+","Lifestyle"
0,3194,4.5,"12+","Sports"
1.99,1399,2.5,"4+","Business"
3.99,10,4.5,"17+","Health & Fitness"
0,1990,4.5,"17+","Utilities"
0,8149,4,"4+","Shopping"
4.99,29376,4.5,"4+","Business"
0,74,4.5,"4+","Shopping"
0,164249,4.5,"4+","Social Networking"
2.99,14605,4.5,"4+","Games"
0,130823,4.5,"4+","Shopping"
0.99,486,4.5,"4+","Entertainment"
0.99,8946,4.5,"4+","Music"
0.99,1993,4,"4+","Games"
0,43877,4.5,"4+","Social Networking"
0.99,2377,4.5,"4+","Photo & Video"
0,1590,4.5,"17+","Entertainment"
0.99,2070,4,"4+","Games"
0,9,4,"4+","Lifestyle"
3.99,11530,4.5,"4+","Reference"
0,194,4,"17+","Lifestyle"
0,200,3.5,"4+","Business"
0,16772,4.5,"4+","Social Networking"
0.99,9,4,"4+","Games"
0.99,2113,3.5,"4+","Games"
0,794,4,"12+","News"
0,8939,4,"4+","Lifestyle"
0,308,3.5,"17+","Utilities"
0,5,2,"4+","Education"
0.99,326482,5,"12+","Games"
0,3801,4,"4+","Shopping"
0,209,3.5,"4+","Games"
0.99,33868,4.5,"4+","Games"
0.99,13741,3.5,"9+","Entertainment"
0,18418,4.5,"4+","Reference"
4.99,21,1.5,"4+","Health & Fitness"
4.99,1588,3.5,"4+","Games"
0,8094,3,"4+","Travel"
0,1652,3,"4+","Utilities"
0.99,5482,4.5,"4+","Productivity"
13.99,611,4.5,"12+","Medical"
0,26697,4.5,"4+","Utilities"
0,317,4,"17+","Lifestyle"
4.99,14202,3.5,"12+","Games"
0,2064,2.5,"4+","Education"
0,746,4.5,"4+","Utilities"
0.99,0,0,"12+","Entertainment"
0,52642,3.5,"17+","Social Networking"
0,27317,2.5,"4+","Sports"
4.99,76,4,"4+","Education"
0,2161558,4.5,"12+","Photo & Video"
4.99,2554,4.5,"4+","Productivity"
0.99,1058,3.5,"4+","Games"
1.99,10382,4,"4+","Games"
0.99,1428,3.5,"4+","Games"
0,3134,2.5,"4+","Entertainment"
0,596,2.5,"4+","Entertainment"
4.99,4378,4.5,"9+","Games"
4.99,280,4,"4+","Navigation"
4.99,1045,4,"4+","Entertainment"
0,1110,4.5,"17+","Utilities"
4.99,11154,4.5,"4+","Games"
0,0,0,"4+","Medical"
0,258,2,"17+","Finance"
0.99,44567,4.5,"4+","Games"
0,3818,2.5,"4+","Sports"
9.99,7562,4.5,"4+","Productivity"
2.99,120,4.5,"4+","Book"
4.99,206,3,"4+","Games"
4.99,1755,4.5,"17+","Food & Drink"
1.99,1037,4.5,"4+","Photo & Video"
2.99,4755,4,"9+","Games"
0,825,3.5,"4+","Business"
0,28260,4.5,"4+","Social Networking"
0,306,3.5,"12+","Finance"
0,32527,4.5,"4+","Games"
0,103655,5,"4+","Shopping"
6.99,15981,4.5,"4+","Productivity"
0,15593,4.5,"4+","Shopping"
2.99,206,4,"17+","Reference"
0,786,3.5,"17+","Entertainment"
1.99,1207,4.5,"4+","Education"
2.99,6879,4.5,"9+","Games"
0,5683,4,"12+","Entertainment"
0.99,0,0,"4+","Social Networking"
4.99,5059,4,"4+","Games"
4.99,10158,4.5,"4+","Health & Fitness"
0,291,4,"17+","Travel"
1.99,31,3,"4+","Weather"
0,35981,4,"12+","Shopping"
0.99,14493,4.5,"12+","Games"
2.99,853,4,"17+","Entertainment"
0,990,3,"12+","Entertainment"
0,676,3,"12+","Entertainment"
0,128739,4.5,"4+","Games"
2.99,1556,4.5,"4+","Utilities"
4.99,12331,4.5,"4+","Games"
3.99,22,4.5,"4+","Education"
0.99,6527,4,"12+","Games"
0.99,13049,4.5,"12+","Games"
0,3692,3.5,"12+","News"
2.99,41446,4.5,"4+","Games"
0,8221,4.5,"4+","Shopping"
0.99,36190,4.5,"4+","Games"
0.99,14491,4.5,"4+","Games"
0,99244,4.5,"4+","Utilities"
0,0,0,"17+","Social Networking"
0,75714,4,"4+","Games"
0.99,35161,4.5,"9+","Games"
0,11875,4.5,"4+","Health & Fitness"
0,122,2.5,"17+","Finance"
0,1083,2,"17+","Lifestyle"
2.99,1575,3.5,"12+","Games"
1.99,24,3.5,"4+","Games"
0,53,4,"4+","Weather"
2.99,739,3.5,"4+","Games"
0,100477,4,"4+","Lifestyle"
0,718,4,"12+","News"
0,16849,4.5,"4+","Reference"
0,192,1.5,"4+","Finance"
4.99,7,5,"12+","Education"
3.99,1114,4.5,"4+","Games"
6.99,1218,4,"4+","Music"
0.99,9948,4.5,"4+","Games"
0.99,528,4,"4+","Utilities"
4.99,4675,4.5,"4+","Games"
0,22302,4,"4+","Travel"
5.99,3849,4,"4+","Productivity"
0,233,4,"12+","News"
0,1798,4.5,"4+","Travel"
7.99,916,4.5,"4+","Business"
0.99,2956,4.5,"17+","Utilities"
4.99,21648,4,"4+","Games"
2.99,5163,4.5,"4+","Reference"
0.99,49,4.5,"4+","Entertainment"
0,6081,4.5,"4+","Weather"
0.99,4401,5,"9+","Games"
2.99,2231,4.5,"17+","Social Networking"
0,327025,4.5,"4+","Games"
4.99,10463,4,"9+","Games"
1.99,28672,4.5,"4+","Games"
3.99,4716,4.5,"12+","Health & Fitness"
1.99,6278,3.5,"9+","Games"
0,0,0,"4+","Shopping"
2.99,8304,4.5,"4+","Games"
0,15984,3,"9+","Entertainment"
1.99,5079,4.5,"4+","Education"
0,2416,4.5,"4+","Music"
0,36,4,"17+","Social Networking"
4.99,8165,3.5,"4+","Games"
0,7446,4,"12+","Entertainment"
0.99,26419,4,"9+","Games"
0.99,208,4,"17+","Entertainment"
3.99,7565,3.5,"17+","Utilities"
1.99,3040,4.5,"4+","Photo & Video"
0,145549,4.5,"17+","Travel"
4.99,835,4.5,"17+","Food & Drink"
1.99,4262,4.5,"4+","Finance"
1.99,219,4,"4+","Utilities"
0,56110,4.5,"4+","Finance"
0,32341,4.5,"12+","Travel"
4.99,1419,4,"12+","Games"
2.99,3303,4.5,"4+","Education"
0,2058,4,"17+","Entertainment"
7.99,990,4,"9+","Games"
2.99,1986,4,"17+","Entertainment"
1.99,8981,4.5,"9+","Games"
4.99,554,4.5,"4+","Games"
0,8176,5,"12+","News"
4.99,53,2,"4+","Food & Drink"
0.99,6,1,"4+","Photo & Video"
0,8,3,"4+","Finance"
0,467,4,"4+","Health & Fitness"
0,2394,4,"17+","Entertainment"
0.99,287,4.5,"12+","Health & Fitness"
0,28189,4.5,"4+","Photo & Video"
2.99,868,4.5,"12+","Navigation"
0.99,4094,4.5,"4+","Games"
2.99,3152,4.5,"4+","Entertainment"
2.99,2950,4.5,"4+","Health & Fitness"
3.99,3245,4,"4+","Weather"
0.99,9341,4.5,"12+","Games"
0,981,2.5,"4+","Education"
0.99,735,4,"4+","Games"
2.99,15116,4.5,"4+","Health & Fitness"
0,39638,4.5,"4+","Productivity"
0,7256,3,"12+","Entertainment"
1.99,12590,4.5,"4+","Utilities"
2.99,13258,4.5,"12+","Games"
6.99,0,0,"4+","Reference"
2.99,331,4.5,"4+","Reference"
0,1777,3,"4+","Education"
0.99,554,4.5,"4+","Photo & Video"
0,7535,4,"4+","Sports"
0,2622,3.5,"4+","Sports"
0,2340,4,"17+","Entertainment"
0,823,4.5,"12+","Entertainment"
1.99,261,4,"4+","Sports"
1.99,0,0,"4+","News"
0.99,29739,4.5,"9+","Games"
0,0,0,"4+","Navigation"
4.99,1359,3,"4+","Weather"
6.99,6001,4.5,"4+","Productivity"
0,10,3,"4+","Food & Drink"
0,4188,4.5,"4+","Education"
0,89,4,"4+","Lifestyle"
1.99,513,4,"4+","Photo & Video"
0,1329,3,"17+","Finance"
0,361,3.5,"17+","Shopping"
0,3768,4,"17+","Entertainment"
0,34584,4.5,"12+","Social Networking"
0,745,3.5,"4+","Music"
0,26786,3.5,"4+","Reference"
3.99,1911,4,"9+","News"
1.99,1393,4.5,"4+","Games"
2.99,430,4.5,"9+","Games"
1.99,193,4.5,"4+","Games"
0.99,7,4.5,"4+","Utilities"
0,84,4.5,"4+","Lifestyle"
0,116,4,"17+","Lifestyle"
2.99,4352,4.5,"4+","Photo & Video"
0,126948,4.5,"4+","Utilities"
0,6478,5,"4+","Photo & Video"
0,31116,4,"4+","Entertainment"
0,248,3,"4+","Utilities"
4.99,3326,5,"9+","Health & Fitness"
0,100,4.5,"12+","Shopping"
0,102,4.5,"4+","Productivity"
0.99,3662,4.5,"4+","Entertainment"
0.99,219418,4.5,"4+","Games"
3.99,2293,4.5,"4+","Weather"
0,16979,4.5,"12+","Sports"
0,110420,4.5,"12+","Music"
1.99,4719,4,"4+","Lifestyle"
0,157,5,"17+","Utilities"
0.99,1537,4.5,"4+","Education"
0,29,3.5,"4+","Food & Drink"
0,2270,4.5,"12+","Utilities"
0,1724546,4.5,"9+","Games"
0,170843,4.5,"4+","Games"
0,70122,4.5,"4+","Games"
4.99,1887,3,"4+","Lifestyle"
0,293857,4.5,"4+","Games"
19.99,193,4.5,"4+","Sports"
0,131695,4.5,"4+","Music"
0,47506,3.5,"4+","Entertainment"
2.99,2261,4.5,"4+","News"
0.99,26,3,"4+","Games"
0,56399,4,"4+","Entertainment"
0,5987,2.5,"12+","Entertainment"
0,414803,4.5,"12+","Games"
0,135962,4,"4+","Productivity"
1.99,0,0,"4+","Photo & Video"
0,549,4.5,"4+","Lifestyle"
9.99,10619,5,"4+","Games"
0,13572,3,"4+","Sports"
2.99,149,3.5,"4+","Reference"
7.99,249,4.5,"4+","Productivity"
0,152,2.5,"12+","Finance"
2.99,1073,4,"4+","Games"
0.99,9763,4.5,"4+","Games"
0,60490,4,"4+","Lifestyle"
1.99,2552,4.5,"4+","Games"
14.99,1378,4.5,"9+","Games"
0,38,3,"17+","Shopping"
0,299,4.5,"12+","News"
3.99,5362,4.5,"12+","Games"
5.99,6109,4.5,"4+","Entertainment"
0,4263,4.5,"17+","News"
0.99,714,4,"4+","Photo & Video"
4.99,3170,4,"4+","Games"
0,936,4,"17+","Utilities"
0,1341,4,"9+","Utilities"
4.99,4934,4,"4+","Games"
2.99,9649,4,"4+","Education"
0,11,4,"12+","Shopping"
2.99,2493,4,"4+","Games"
4.99,1888,3.5,"4+","Games"
4.99,923,4.5,"9+","Games"
0,65,3.5,"17+","Shopping"
0,115,2,"4+","Travel"
0,10278,3.5,"4+","Travel"
0,624,4,"17+","Social Networking"
0,177501,4.5,"4+","Social Networking"
0.99,500,4,"9+","Games"
0,159735,4,"4+","Sports"
0,1061624,4.5,"12+","Social Networking"
0,98344,3.5,"17+","Entertainment"
0,26278,3,"17+","Entertainment"
0,35769,4.5,"4+","Utilities"
