"track_name","size_bytes","price","rating_count_tot","rating_count_ver","user_rating","user_rating_ver","cont_rating","prime_genre","sup_devices.num","ipadSc_urls.num","lang.num"
"HuffPost - News, Politics & Entertainment",110420992,0,29107,85,3,4,"12+","News",37,5,10
"Phrase Party!",47774720,1.99,878,48,4,4.5,"17+","Games",38,5,1
"Minesweeper Classic",22259712,0.99,1140,20,3.5,3.5,"4+","Games",37,4,1
"Sally's Spa",431771648,2.99,35074,403,4.5,4,"4+","Games",43,0,6
"CBS Sports App - Sports Scores, News, Stats, Watch",120357888,0,59639,11,3,2.5,"17+","Sports",37,4,1
"Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience",90828800,4.99,2913,357,4,5,"4+","Health & Fitness",43,5,1
"iSwap Faces LITE",30796800,0,39722,0,3,0,"4+","Photo & Video",37,5,1
"DIRECTV",151397376,0,81006,25,3.5,3,"4+","Entertainment",37,0,1
"NYTimes Crossword - Daily Word Puzzle Game",46880768,0,53465,204,3.5,4,"4+","Games",37,5,1
"Doodle Jump",48741376,0.99,395261,88,4.5,4.5,"4+","Games",37,0,1
"LEDit – The LED Banner App",17145856,1.99,2021,147,4.5,4.5,"4+","Utilities",37,4,12
"niconico",25808896,0,182,0,3,0,"17+","Entertainment",37,5,3
"Fandango Movies - Times + Tickets",81924096,0,291787,589,4,5,"4+","Entertainment",37,4,1
"iCab Mobile (Web Browser)",19451904,1.99,2441,4,4,5,"17+","Utilities",38,4,12
"iRagdoll - Ragdoll Physics",118683648,0.99,1372,25,4,4,"12+","Games",37,2,1
"Proloquo2Go - Symbol-based AAC",723764224,249.99,773,10,4,3.5,"4+","Education",37,5,3
"Dictionary.com Dictionary & Thesaurus",111275008,0,200047,177,4,4,"4+","Reference",37,0,1
"20 Minutes.fr - l'actualité en continu",109616128,0,112,0,3.5,0,"12+","News",37,5,17
"The Masters Tournament",120725504,0,148160,63,4.5,3.5,"4+","Sports",37,5,1
"myAT&T",68491264,0,108507,628,3,3,"4+","Utilities",37,5,2
"SFR TV",122153984,0,46,0,3,0,"4+","Entertainment",37,5,1
"Shutterfly: Prints, Photo Books, Cards Made Easy",122315776,0,51427,874,4,5,"4+","Photo & Video",37,5,1
"StickWars",17010688,0.99,53821,165,3.5,4,"12+","Games",43,1,1
"Indeed Job Search",3691520,0,38681,563,4,4.5,"4+","Business",37,3,28
"World Cup Table Tennis™",31387648,0.99,17776,6,4,5,"4+","Games",37,0,11
"WhatsApp Messenger",135044096,0,287589,73088,4.5,4.5,"4+","Social Networking",12,0,35
"iStudiez Pro – Homework, Schedule, Grades",55815168,2.99,7308,15,4,4.5,"4+","Productivity",37,5,30
"Zillow Real Estate - Homes for Sale & for Rent",132632576,0,342969,88478,4.5,4.5,"4+","Lifestyle",37,5,1
"2XL Supercross",270729216,4.99,6093,3,4,5,"4+","Games",37,5,7
"Pocket Tanks Deluxe",39827456,4.99,5452,39,4.5,4.5,"9+","Games",38,5,1
"Wells Fargo Mobile",57328640,0,43064,216,3,2.5,"4+","Finance",37,0,2
"radio.de - Der Radioplayer",40717312,0,64,9,4.5,5,"4+","Music",37,5,14
"AutoScout24 - mobile used & new car market",141136896,0,220,2,4.5,5,"4+","Productivity",37,5,13
"Sky Burger - Build & Match Food Free",146228224,0,114096,2157,4.5,4,"4+","Games",37,5,3
"MindNode – Delightful Mind Mapping",52294656,9.99,1296,4,4,5,"4+","Productivity",37,4,13
"Packing Pro",16332800,2.99,1293,31,4,5,"4+","Travel",37,5,11
"USAA Mobile",164382720,0,19946,13,4,2.5,"4+","Finance",37,5,1
"The Moron Test",45712384,0,88613,392,4,4.5,"4+","Entertainment",37,5,1
"Sunday Lawn",16086016,0.99,107727,55,3.5,4.5,"4+","Games",37,3,1
"Peggle Classic",223805440,0.99,21416,974,4.5,4.5,"4+","Games",43,0,5
"SmartGo Player",22159360,2.99,533,27,4,4,"4+","Games",37,3,9
"I Am T-Pain 2.0",20542280,2.99,32650,754,3.5,3.5,"12+","Music",43,1,1
"TextNow - Unlimited Text + Calls",130637824,0,164963,69,3.5,4,"4+","Social Networking",37,5,3
"Boating Weather",8900608,1.99,141,15,3,3,"4+","Weather",40,0,1
"Best Buy",180500480,0,80424,46,4,4.5,"4+","Shopping",37,5,2
"I Dig It",19853312,0.99,17190,180,4,4.5,"4+","Games",40,0,1
"Unblock Me",42926080,0.99,7973,127,4,5,"4+","Games",40,5,15
"Sonic The Hedgehog",36692992,2.99,19621,1191,4,4.5,"4+","Games",37,5,1
"10 Pin Shuffle Pro Bowling",36647936,3.99,7315,138,4,4.5,"4+","Games",37,5,6
"Sky News",91697152,0,118,0,3,0,"12+","News",37,5,1
"ESPN: Get scores, news, alerts & watch live sports",51538944,0,290996,150,3.5,3.5,"4+","Sports",37,5,2
"LiveATC Air Radio",8302592,3.99,2785,90,4,4,"4+","Travel",37,5,26
"The Sims 3",430128128,6.99,54408,65,3.5,2,"12+","Games",37,5,8
"Chess Pro with Coach - Learn,Play & Online Friends",69960704,9.99,8138,107,4,4.5,"4+","Games",37,5,13
"Guess My Age  Math Magic",767126,0,123190,68841,3,3,"4+","Education",47,0,1
"Crush the Castle",12996628,0.99,23810,582,3.5,4,"12+","Games",45,0,1
"2016 U.S. Open Golf Championship",139545600,0,54192,32,4,2,"4+","Sports",37,0,1
"The Championships, Wimbledon 2016 - Tennis Grand Slam",130394112,0,20953,481,4,4,"4+","Sports",37,5,1
"TuneIn Radio Pro - MLB Audiobooks Podcasts Music",101925888,9.99,71609,99,4.5,4,"12+","Music",37,4,14
"NBC News",52951040,0,32881,7,3.5,2,"12+","News",37,5,1
"Grindr - Gay and same sex guys chat, meet and date",80409600,0,23201,14,2.5,2,"17+","Social Networking",37,5,5
"Whole Foods Market",137312256,0,17906,4,3,3,"4+","Shopping",37,5,1
"NAVIGON Europe",144412672,74.99,927,3,3.5,2.5,"4+","Navigation",37,2,21
"Virtual Families",27746273,1.99,18920,3014,3.5,4.5,"9+","Games",47,0,1
"Sparkasse+",119648256,0.99,30,0,3,0,"4+","Finance",37,0,3
"Sparkasse - Your mobile branch",119574528,0,77,1,3,4,"4+","Finance",37,0,3
"Sleep Cycle alarm clock",79315968,0,104539,11,4.5,4.5,"4+","Health & Fitness",37,5,13
"FACEinHOLE®",12818432,0.99,4016,1,4,5,"12+","Photo & Video",37,5,1
"Harvest - Select the Best Produce",18165760,1.99,299,28,4,4.5,"4+","Food & Drink",38,0,1
"WORMS",253834240,1.99,5758,9,4,3,"12+","Games",40,0,1
"Pixel Starships™ : 8Bit MMORPG",69083136,0,5565,140,4.5,4.5,"9+","Games",37,5,17
"Traffic Rush",8573952,0.99,213092,51,3.5,4.5,"9+","Games",37,3,1
"MyRadar NOAA Weather Radar Forecast",127284224,0,150158,3392,4.5,5,"4+","Weather",37,2,8
"Resident Evil 4: PLATINUM",81374398,4.99,6046,446,4,4,"12+","Games",47,0,1
"Waze - GPS Navigation, Maps & Real-time Traffic",94139392,0,345046,3040,4.5,4.5,"4+","Navigation",37,5,36
"Cartoon Wars",13216994,0.99,35930,262,3.5,4,"12+","Games",43,0,1
"Moto X Mayhem",21010210,0.99,22557,526,4,4,"4+","Games",47,0,1
"Fantasy Football Manager - FFM for FPL",35998720,0.99,292,1,3,5,"17+","Sports",37,1,1
"Spotify Music",132510720,0,878563,8253,4.5,4.5,"12+","Music",37,5,18
"McDo France",37001216,0,22,0,3.5,0,"4+","Food & Drink",37,0,30
"PGA Championship 2016 – Baltusrol Golf Club",64147456,0,10472,58,3.5,2,"17+","Sports",37,5,1
"BFMTV : l'info en continu",100779008,0,115,70,4,5,"17+","News",37,4,1
"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",123718656,1.99,13915,205,4.5,5,"4+","Weather",37,2,8
"Spider:  The Secret of Bryce Manor",126312448,1.99,6780,68,4,4.5,"9+","Games",38,0,5
"My Measures PRO",79882240,7.99,1701,35,4,4.5,"4+","Productivity",37,5,21
"Food Additives Checker (E Numbers)",6418432,1.99,6,0,3.5,0,"4+","Health & Fitness",37,0,8
"SFR Mon Compte",74093568,0,19,0,3,0,"4+","Utilities",37,5,1
"Baby Connect (Activity Log)",12937216,4.99,3483,79,4.5,5,"4+","Medical",37,0,14
"Epson iPrint",53388288,0,2838,26,3,2.5,"4+","Photo & Video",37,5,12
"Mad Libs",118498304,0,117889,725,3,4.5,"4+","Entertainment",38,1,1
"BATTLE BEARS: Zombies!",103197675,0.99,50710,309,3.5,4,"9+","Games",45,0,1
"Hurricane Tracker",24574976,2.99,3960,0,4.5,0,"4+","Weather",37,0,1
"NFL Sunday Ticket",96093184,0,24258,305,3,2.5,"4+","Entertainment",37,0,1
"2016 US Open Tennis Championships",77700096,0,37522,39,4,3,"4+","Sports",37,4,1
"Dropbox",180804608,0,49578,16,3.5,3,"4+","Productivity",37,5,20
"Wa Kingyo - Goldfish Pond",56397824,0.99,626,44,4,5,"4+","Entertainment",38,5,2
"Monkey Preschool Lunchbox",229272576,1.99,9286,49,4,3.5,"4+","Games",38,5,1
"Yahoo Fantasy Sports",131000320,0,190670,19,3.5,2.5,"17+","Sports",37,3,45
"Gaia GPS Classic",53097472,19.99,2429,8,4.5,3.5,"4+","Navigation",37,5,16
"iLoan Calc (Loan calculator)",3375104,3.99,0,0,0,0,"4+","Finance",37,5,3
"Geocaching®",108166144,0,12811,134,3.5,1.5,"4+","Navigation",37,0,22
"Camera+",89187328,1.99,32338,261,4,4.5,"4+","Photo & Video",37,0,10
"Alter Ego",13647872,4.99,262,43,4,4,"12+","Games",40,5,1
"Parking Mania",123544576,0.99,9657,47,4.5,4.5,"4+","Games",38,0,12
"Sudoku⁺",1608704,2.99,18332,1007,4.5,5,"4+","Games",37,5,2
"Period Tracker Lite",50169856,0,53620,2872,4,5,"12+","Health & Fitness",38,0,15
"Camera Plus: For Macro Photos & Remote Photography",101181440,0.99,38533,36,2.5,3.5,"4+","Photo & Video",37,4,11
"The perfect Egg timer",15329280,0.99,40,0,3.5,0,"4+","Food & Drink",37,4,7
"Letter Quiz - alphabet tracing for kids",31845376,1.99,472,0,4,0,"4+","Games",37,5,1
"Starbucks",135032832,0,303856,7027,4.5,4.5,"4+","Food & Drink",37,0,2
"央视影音-海量央视内容高清直播",54648832,0,2070,0,2.5,0,"4+","Sports",37,0,1
"Bloons TD",8432232,2.99,7941,76,4,3.5,"4+","Games",47,0,1
"Weight Watchers",230720512,0,136833,64,3.5,4.5,"12+","Health & Fitness",37,5,6
"CNN: Breaking US & World News, Live Video",80211968,0,112886,298,3.5,1.5,"12+","News",37,1,1
"Gilt",148201472,0,26353,3,3.5,2.5,"4+","Shopping",37,5,2
"TRUTH or DARE!!! - FREE",20795392,0,171055,31,3,3.5,"12+","Entertainment",38,1,1
"Canabalt",27934720,2.99,4540,140,4,4.5,"9+","Games",43,5,15
"Alipay - Makes Life Easy",208309248,0,1926,2,3,3,"4+","Lifestyle",38,5,3
"Scanner911 Pro",33812480,3.99,14345,100,4,2.5,"12+","News",37,0,1
"Daily Teachings",20298752,4.99,1340,288,4.5,5,"4+","Lifestyle",38,0,1
"Scanner Pro - PDF document scanner app with OCR",101346304,3.99,31912,154,4.5,5,"4+","Business",37,5,9
"Twitter",210569216,0,354058,452,3.5,4,"17+","News",37,2,33
"Trainline UK: Live Train Times, Tickets & Planner",110198784,0,248,0,4,0,"4+","Travel",37,4,1
"CBS News - Watch Free Live Breaking News",78047232,0,11691,44,3.5,4.5,"12+","News",37,5,1
"iOvilus",9946112,1.99,381,6,3,2,"12+","Entertainment",38,0,1
"The Impossible Quiz!",44652544,0,18884,451,4,4.5,"9+","Entertainment",37,0,1
"WolframAlpha",30369792,2.99,7410,82,4,4.5,"9+","Reference",37,5,1
"Catan",376171520,1.99,15175,308,4,4,"4+","Games",38,0,6
"ScanBizCards Business Card Reader",96815104,0.99,3166,34,4,4.5,"4+","Business",37,5,5
"Walgreens – Pharmacy, Photo, Coupons and Shopping",169138176,0,88885,333,4.5,4,"12+","Shopping",37,5,1
"King of Dragon Pass",364490752,9.99,882,85,5,5,"12+","Games",43,5,1
"Stylebook",44135424,3.99,1729,599,4,4.5,"17+","Lifestyle",37,5,3
"NBA",112074752,0,43682,19,3.5,2.5,"4+","Sports",37,5,1
"Blower",98942976,0.99,861,70,2,2.5,"4+","Entertainment",40,4,1
"My Cycles Period and Ovulation Tracker",77686784,0,7469,68,3.5,5,"12+","Health & Fitness",37,0,2
"Kmart – Download Now, Shop Online & Pick Up Today!",94496768,0,4186,6,3.5,4.5,"4+","Shopping",37,0,1
"优酷视频",204959744,0,4885,0,3.5,0,"12+","Entertainment",38,0,2
"DOOM Classic",32796672,4.99,3970,509,4,4,"17+","Games",40,3,5
"SoundCloud - Music & Audio",105009152,0,135744,594,4,4.5,"4+","Music",37,4,7
"imo video calls and chat",22562816,0,18841,0,4,0,"4+","Social Networking",38,2,29
"Plane Finder - Flight Tracker",52632576,3.99,1438,171,4,4,"4+","Navigation",37,3,10
"Runtastic Running, Jogging and Walking Tracker",151388160,0,10298,7,4.5,3.5,"4+","Health & Fitness",37,0,15
"iFiles",47323136,0.99,1842,23,3.5,2.5,"4+","Productivity",38,1,1
"TeachMe: Kindergarten",59846656,1.99,2548,5,4,4,"4+","Education",37,5,1
"Moorhuhn Deluxe - Crazy Chicken",27807744,0.99,319,12,3,5,"12+","Games",38,5,5
"Victoria’s Secret – The Sexiest Bras & Lingerie",60976128,0,34507,38,3.5,5,"12+","Shopping",37,0,1
"MONOPOLY Game",194386944,0.99,26482,331,3.5,2.5,"4+","Games",37,0,6
"n-tv Nachrichten",49470464,0,273,0,3,0,"12+","News",37,5,1
"Shazam Encore",147118080,2.99,8331,24,4,3.5,"12+","Music",37,3,15
"Harry Potter: Spells",125411328,0.99,17023,916,4,4.5,"4+","Games",40,0,1
"First Words Deluxe",63316992,4.99,1101,8,4,4,"4+","Games",38,5,1
"Clay Hunt",15313920,0.99,1193,1,4,2,"17+","Games",40,5,1
"Dream Team - be your own fantasy football manager",69816320,0,35,0,2.5,0,"17+","Sports",37,3,1
"Jet Car Stunts",32848910,1.99,4088,436,4,4.5,"4+","Games",47,4,1
"Call of Duty: Zombies",52821364,4.99,63943,31264,4,4,"17+","Games",47,0,1
"Walmart: Free 2-Day Shipping,* Easy Store Shopping",146507776,0,70286,51,3,4,"4+","Shopping",37,0,1
"AirWatch Agent",24747008,0,1150,0,2.5,0,"4+","Business",37,5,19
"Shop Savvy Barcode Scanner - Price Compare & Deals",89517056,0,54630,280,2.5,4.5,"4+","Shopping",37,4,1
"Voice Changer Plus",40722432,0,98777,233,3,4,"4+","Entertainment",37,2,12
"CatPaint",73332736,0.99,649,11,4,4,"4+","Photo & Video",37,5,1
"Redbox",83906560,0,60236,58,3,4.5,"12+","Entertainment",37,0,1
"クックパッド - No.1料理レシピ検索アプリ",76644352,0,115,0,3.5,0,"4+","Food & Drink",37,5,1
"Trenches",37340259,0.99,26732,1428,4,4.5,"17+","Games",43,0,1
"The Christmas List",26137600,1.99,2722,1,4.5,5,"4+","Shopping",37,0,1
"Macy's",107816960,0,11013,76,3.5,5,"4+","Shopping",37,0,1
"Calorie Counter & Diet Tracker by MyFitnessPal",152700928,0,507706,181,4.5,4.5,"4+","Health & Fitness",37,5,19
"BlaBlaCar - Trusted Carpooling",112024576,0,397,0,4.5,0,"4+","Travel",37,0,16
"Refills Calendar - Scheduler - Note",35864576,9.99,196,3,4,5,"4+","Productivity",38,5,2
"5-0 Radio Pro Police Scanner (Extra Feeds)",49594368,3.99,24553,2620,4,4.5,"9+","News",38,5,26
"Hipstamatic",114081792,2.99,12557,6,3.5,5,"4+","Photo & Video",37,5,15
"Sing Karaoke Songs Unlimited with StarMaker",91267072,0,26227,7,4,4.5,"9+","Music",37,4,14
"TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF",8821760,4.99,28388,7009,5,5,"4+","Business",38,5,9
"Positivity with Andrew Johnson",69513216,2.99,282,1,4,5,"4+","Health & Fitness",38,4,1
"Rat On A Scooter XL",7767040,0.99,19296,7,4,4,"4+","Games",37,3,1
"IMDb Movies & TV - Trailers and Showtimes",88702976,0,183425,4724,4.5,5,"12+","Entertainment",37,5,10
"Angry Birds",175966208,0,824451,107,4.5,3,"4+","Games",38,0,10
"DB Navigator",84791296,0,512,6,3.5,5,"4+","Travel",38,0,2
"Video Calls with Santa",27997184,2.99,315,0,3.5,0,"4+","Lifestyle",37,0,31
"Voyages-sncf.com : book train and bus tickets",131463168,0,268,0,3.5,0,"4+","Travel",37,5,6
"The Font Game",5415000,1.99,438,295,4.5,4.5,"4+","Games",45,0,1
"ImmobilienScout24: Real Estate Search in Germany",126867456,0,187,0,3.5,0,"4+","Navigation",37,5,3
"Grand Theft Auto: Chinatown Wars",878883840,4.99,15142,73,4,4,"17+","Games",38,5,6
"Southwest Airlines",88773632,0,30552,18,3,2.5,"4+","Travel",37,0,1
"The Sims 3 World Adventures",812758016,2.99,9744,42,3.5,3,"12+","Games",37,4,6
"Star Chart",28616704,0,13482,2517,4.5,4.5,"4+","Education",38,5,8
"TaxCaster – Free tax refund calculator",7111680,0,17516,125,3.5,5,"4+","Finance",37,5,1
"Glow Hockey 2 FREE",34056767,0,186653,226,3.5,3.5,"4+","Games",43,0,1
"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",21450752,0.99,10031,142,4,5,"4+","Entertainment",43,0,1
"TV SPIELFILM - TV Programm mit Live TV",97879040,0,81,0,3,0,"4+","Entertainment",37,5,1
"All-in-1 Logic GameBox",22299021,0.99,9854,823,4,4,"4+","Games",47,0,1
"Roadside America",10231808,2.99,1093,106,4,4.5,"9+","Travel",38,0,1
"Pocket Yoga",132480000,2.99,4475,95,4.5,4.5,"4+","Health & Fitness",37,5,2
"Sonic the Hedgehog 2",47182848,2.99,9405,1089,4,4.5,"4+","Games",37,5,1
"Simply Being - Guided Meditation for Relaxation and Presence",100048896,1.99,2417,1366,4.5,4.5,"4+","Health & Fitness",38,2,1
"CamCard - Business card scanner & reader",174839808,0.99,2923,300,4.5,4.5,"4+","Business",37,0,7
"This American Life",13725696,2.99,8657,1468,3.5,4,"9+","Entertainment",38,4,1
"Timetracks - Slit-Scan Camera",11369472,0.99,70,1,2,1,"4+","Photo & Video",37,4,5
